----------------(新手)----------------
300523	侠客	Bat300523.lua
400820	夏日小分队	Bat400820.lua
900002	经验老大	Bat900002.lua

----------------(简单)----------------
400500	喜羊羊[简单]	Bat400500.lua
400507	兔乖乖[简单]	Bat400507.lua

400504	妖狐[简单]	Bat400504.lua
400509	金浪淘沙[简单]	Bat400509.lua

400505	琴仙[简单]	Bat400505.lua
400506	龙太子[简单]	Bat400506.lua

400502	孙悟饭[简单]	Bat400502.lua
400508	锁链鬼使[简单]	Bat400508.lua

400518	白狐[简单]	Bat400518.lua
400523	浪漫五叶[简单]	Bat400523.lua

----------------(一般)----------------
400512	炽天使[一般]	Bat400512.lua
400515	突兀[一般]	Bat400515.lua
400516	麒麟[一般]	Bat400516.lua
400517	妖火狼[一般]	Bat400517.lua
400524	妹妹[一般]	Bat400524.lua

----------------(中等)----------------
400503	冰雪女王[中等]	Bat400503.lua
400511	阿修罗[中等]	Bat400511.lua
400522	冥雷[中等]	Bat400522.lua

----------------(困难)----------------
400501	一代书生[困难]	Bat400501.lua
400513	画中仙[困难]	Bat400513.lua
400514	范式之魂[困难]	Bat400514.lua
400521	九天玄女[困难]	Bat400521.lua
400525	九天妖女[困难]	Bat400525.lua
400526	垂钓者[困难]	Bat400526.lua
400527	颜如玉[困难]	Bat400527.lua

----------------(超难)----------------
400510	九天琴魔[超难]	Bat400510.lua
400519	飞龙在天[超难]	Bat400519.lua
400520	大天使[超难]	Bat400520.lua

301000	魔神蚩尤(一阶)	Bat301000.lua
301001	魔神蚩尤(二阶)	Bat301001.lua
301002	魔神蚩尤(三阶)	Bat301002.lua
301003	魔神蚩尤(四阶)	Bat301003.lua
7123	魔神蚩尤(五阶)	Bat301004.lua

401000 ★地煞星 Bat401000.lua
401001 ★★地煞星 Bat401001.lua
401002 ★★★地煞星 Bat401002.lua
401003 ★★★★地煞星	 Bat401003.lua
401004 ★★★★★地煞星 Bat401004.lua
401005 ★★★★★★地煞星	 Bat401005.lua
401006 ★★★★★★★地煞星 Bat401006.lua
