item_id	name
10000	四叶花
10001	麝香
10002	山药
10003	丁香水
10004	血色茶花
10005	金疮药
10006	紫丹罗
10007	熊胆
10008	佛光舍利子
10009	草果
10010	鬼切草
10011	七叶莲
10012	九香虫
10013	月见草
10014	百色花
10015	佛手
10016	香叶
10017	包子
10018	白玉骨头
10019	龙须草
10020	八角莲叶
10021	天青地白
10022	人参
10023	曼陀罗花
10024	灵脂
10025	水黄莲
10026	旋复花
10027	小还丹
10028	千年保心丹
10029	风水混元丹
10030	金香玉
10031	天不老
10032	紫石英
10033	凤凰尾
10034	硫磺草
10035	龙之心屑
10036	月星子
10037	血珊瑚
10038	火凤之睛
10039	孔雀红
10040	鹿茸
10041	仙狐涎
10042	天龙水
10043	地狱灵芝
10044	餐风饮露
10045	白露为霜
10046	六道轮回
10047	蛇蝎美人
10048	定神香
10049	九转还魂丹
10050	十香返生丸
10051	红雪散
10052	五龙丹
10053	烤鸭
10054	女儿红
10055	烤肉
10056	翡翠豆腐
10057	梅花酒
10058	蛇胆酒
10059	佛跳墙
10060	珍露酒
10061	虎骨酒
10062	臭豆腐
10063	百味酒
10064	醉生梦死
10065	飞刀
10066	飞蝗石
10067	铁蒺藜
10068	无影神针
10069	孔雀翎
10070	含沙射影
10071	回龙摄魂镖
10072	寸阴若梦
10073	魔睛子
10074	顺逆神针
10075	宠物口粮
10076	洞冥草
10077	摄妖香
10078	兰花
10079	桃花
10080	魔兽要诀
10081	魔兽要诀
10082	魔兽要诀
10083	魔兽要诀
10084	魔兽要诀
10085	魔兽要诀
10086	魔兽要诀
10087	魔兽要诀
10088	魔兽要诀
10089	魔兽要诀
10090	魔兽要诀
10091	魔兽要诀
10092	魔兽要诀
10093	魔兽要诀
10094	魔兽要诀
10095	魔兽要诀
10096	魔兽要诀
10097	魔兽要诀
10098	魔兽要诀
10099	魔兽要诀
10100	魔兽要诀
10101	魔兽要诀
10102	魔兽要诀
10103	魔兽要诀
10104	魔兽要诀
10105	魔兽要诀
10106	魔兽要诀
10107	魔兽要诀
10108	魔兽要诀
10109	魔兽要诀
10110	红缨枪
10112	曲尖枪
10113	锯齿矛
10114	乌金三叉戟
10115	火焰枪
10116	墨杆金钩
10117	玄铁矛
10118	金蛇信
10119	丈八点钢矛
10120	暗夜
10121	暗夜
10122	暗夜
10123	梨花
10124	梨花
10125	梨花
10126	霹雳
10127	霹雳
10128	霹雳
10129	刑天之逆
10130	刑天之逆
10131	刑天之逆
10132	五虎断魂
10133	五虎断魂
10134	五虎断魂
10135	飞龙在天
10136	飞龙在天
10137	飞龙在天
10138	折扇
10139	铁骨扇
10140	精钢扇
10141	铁面扇
10142	百折扇
10143	劈水扇
10144	神火扇
10145	阴风扇
10146	风云雷电
10147	太极
10148	太极
10149	太极
10150	玉龙
10151	玉龙
10152	玉龙
10153	秋风
10154	秋风
10155	秋风
10156	画龙点睛
10157	画龙点睛
10158	画龙点睛
10159	秋水人家
10160	秋水人家
10161	秋水人家
10162	逍遥江湖
10163	逍遥江湖
10164	逍遥江湖
10165	细木棒
10166	金丝魔棒
10167	玉如意
10168	点金棒
10169	云龙棒
10170	幽路引魂
10171	满天星
10172	水晶棒
10173	日月光华
10174	沧海
10175	沧海
10176	沧海
10177	红莲
10178	红莲
10179	红莲
10180	盘龙
10181	盘龙
10182	盘龙
10183	降魔玉杵
10184	降魔玉杵
10185	降魔玉杵
10186	青藤玉树
10187	青藤玉树
10188	青藤玉树
10189	墨玉骷髅
10190	墨玉骷髅
10191	墨玉骷髅
10192	铁爪
10193	天狼爪
10194	幽冥鬼爪
10195	青龙牙
10196	勾魂爪
10197	玄冰刺
10198	青刚刺
10199	华光刺
10200	龙鳞刺
10201	撕天
10202	撕天
10203	撕天
10204	毒牙
10205	毒牙
10206	毒牙
10207	胭脂
10208	胭脂
10209	胭脂
10210	九阴勾魂
10211	九阴勾魂
10212	九阴勾魂
10213	雪蚕之刺
10214	雪蚕之刺
10215	雪蚕之刺
10216	贵霜之牙
10217	贵霜之牙
10218	贵霜之牙
10219	青铜斧
10220	开山斧
10221	双面斧
10222	双弦钺
10223	精钢禅钺
10224	黄金钺
10225	乌金鬼头镰
10226	狂魔镰
10227	恶龙之齿
10228	破魄
10229	破魄
10230	破魄
10231	肃魂
10232	肃魂
10233	肃魂
10234	无敌
10235	无敌
10236	无敌
10237	五丁开山
10238	五丁开山
10239	五丁开山
10240	元神禁锢
10241	元神禁锢
10242	元神禁锢
10243	护法灭魔
10244	护法灭魔
10245	护法灭魔
10246	松木锤
10247	镔铁锤
10248	八棱金瓜
10249	狼牙锤
10250	烈焰锤
10251	破甲战锤
10252	震天锤
10253	巨灵神锤
10254	天崩地裂
10255	八卦
10256	八卦
10257	八卦
10258	鬼牙
10259	鬼牙
10260	鬼牙
10261	雷神
10262	雷神
10263	雷神
10264	混元金锤
10265	混元金锤
10266	混元金锤
10267	九瓣莲花
10268	九瓣莲花
10269	九瓣莲花
10270	鬼王蚀日
10271	鬼王蚀日
10272	鬼王蚀日
10273	黄铜圈
10274	精钢日月圈
10275	离情环
10276	金刺轮
10277	风火圈
10278	赤炎环
10279	蛇形月
10280	子母双月
10281	斜月狼牙
10282	如意
10283	如意
10284	如意
10285	乾坤
10286	乾坤
10287	乾坤
10288	月光
10289	月光
10290	月光
10291	别情离恨
10292	别情离恨
10293	别情离恨
10294	金玉双环
10295	金玉双环
10296	金玉双环
10297	五色缎带
10298	幻彩银纱
10299	金丝彩带
10300	无极丝
10301	天蚕丝带
10302	云龙绸带
10303	七彩罗刹
10304	缚神绫
10305	九天仙绫
10306	彩虹
10307	彩虹
10308	彩虹
10309	流云
10310	流云
10311	流云
10312	碧波
10313	碧波
10314	碧波
10315	秋水落霞
10316	秋水落霞
10317	秋水落霞
10318	晃金仙绳
10319	晃金仙绳
10320	晃金仙绳
10321	此最相思
10322	此最相思
10323	此最相思
10324	青铜短剑
10325	铁齿剑
10326	吴越剑
10327	青锋剑
10328	龙泉剑
10329	黄金剑
10330	游龙剑
10331	北斗七星剑
10332	碧玉剑
10333	鱼肠
10334	鱼肠
10335	鱼肠
10336	倚天
10337	倚天
10338	倚天
10339	湛卢
10340	湛卢
10341	湛卢
10342	魏武青虹
10343	魏武青虹
10344	魏武青虹
10345	灵犀神剑
10346	灵犀神剑
10347	灵犀神剑
10348	四法青云
10349	四法青云
10350	四法青云
10351	柳叶刀
10352	苗刀
10353	夜魔弯刀
10354	金背大砍刀
10355	雁翅刀
10356	破天宝刀
10357	狼牙刀
10358	龙鳞宝刀
10359	黑炎魔刀
10360	冷月
10361	冷月
10362	冷月
10363	屠龙
10364	屠龙
10365	屠龙
10366	血刃
10367	血刃
10368	血刃
10369	偃月青龙
10370	偃月青龙
10371	偃月青龙
10372	晓风残月
10373	晓风残月
10374	晓风残月
10375	斩妖泣血
10376	斩妖泣血
10377	斩妖泣血
10378	双短剑
10379	镔铁双剑
10380	龙凤双剑
10381	竹节双剑
10382	狼牙双剑
10383	鱼骨双剑
10384	赤焰双剑
10385	墨玉双剑
10386	梅花双剑
10387	阴阳
10388	阴阳
10389	阴阳
10390	月光
10391	月光
10392	月光
10393	灵蛇
10394	灵蛇
10395	灵蛇
10396	金龙双剪
10397	金龙双剪
10398	金龙双剪
10399	连理双树
10400	连理双树
10401	连理双树
10402	方巾
10403	布帽
10404	面具
10405	纶巾
10406	缨络丝带
10407	羊角盔
10408	水晶帽
10409	乾坤帽
10410	黑魔冠
10411	白玉龙冠
10412	水晶夔帽
10413	翡翠曜冠
10414	金丝黑玉冠
10415	白玉琉璃冠
10416	兽鬼珐琅面
10417	紫金磐龙冠
10418	簪子
10419	玉钗
10420	梅花簪子
10421	珍珠头带
10422	凤头钗
10423	媚狐头盔
10424	玉女发冠
10425	魔女发冠
10426	七彩花环
10427	凤翅金翎
10428	寒雉霜蚕
10429	曜月嵌星
10430	郁金流苏簪
10431	玉翼附蝉翎
10432	鸾羽九凤冠
10433	金珰紫焰冠
10434	布衣
10435	皮衣
10436	鳞甲
10437	锁子甲
10438	紧身衣
10439	钢甲
10440	夜魔披风
10441	龙骨甲
10442	死亡斗篷
10443	神谕披风
10444	珊瑚玉衣
10445	金蚕披风
10446	乾坤护心甲
10447	蝉翼金丝甲
10448	金丝鱼鳞甲
10449	紫金磐龙甲
10450	布裙
10451	丝绸长裙
10452	五彩裙
10453	龙鳞羽衣
10454	天香披肩
10455	金缕羽衣
10456	霓裳羽衣
10457	流云素裙
10458	七宝天衣
10459	飞天羽衣
10460	穰花翠裙
10461	金蚕丝裙
10462	紫香金乌裙
10463	碧霞彩云衣
10464	金丝蝉翼衫
10465	五彩凤翅衣
10466	腰带
10467	缎带
10468	银腰带
10469	水晶腰带
10470	玉树腰带
10471	琥珀腰链
10472	白面狼牙
10473	乱牙咬
10474	魔童大牙
10475	攫魂铃
10476	双魂引
10477	兽王腰带
10478	百窜云
10479	八卦锻带
10480	圣王坠
10481	幻彩玉带
10482	珠翠玉环
10483	金蟾含珠
10484	乾坤紫玉带
10485	琉璃寒玉带
10486	蝉翼鱼佩带
10487	磐龙凤翔带
10488	布鞋
10489	牛皮靴
10490	马靴
10491	侠客履
10492	神行靴
10493	绿靴
10494	追星踏月
10495	九州履
10496	万里追云履
10497	踏雪无痕
10498	平步青云
10499	追云逐电
10500	乾坤天罡履
10501	七星逐月靴
10502	碧霞流云履
10503	金丝逐日履
10504	护身符
10505	五色飞石
10506	珍珠链
10507	骷髅吊坠
10508	苍魂珠
10509	江湖夜雨
10510	九宫坠
10511	荧光坠子
10512	高速之星
10513	风月宝链
10514	八卦坠
10515	碧水青龙
10516	鬼牙攫魂
10517	万里卷云
10518	疾风之铃
10519	七彩玲珑
10520	黄玉琉佩
10521	鸾飞凤舞
10522	衔珠金凤佩
10523	七璜珠玉佩
10524	鎏金点翠佩
10525	紫金碧玺佩
15000	战魄精铁
15001	战魄精铁
15002	战魄精铁
15003	战魄精铁
15004	战魄精铁
15005	战魄精铁
15006	白虎石
15007	朱雀石
15008	青龙石
15009	玄武石
20000	藏宝图
20001	高级藏宝图
20002	避水珠
20003	龙鳞
20004	夜光珠
20005	定魂珠
20006	金刚石
20007	特赦令牌
20008	月光宝霞
20009	红线
20010	铜钥匙
20011	银钥匙
20012	金钥匙
20013	舍利子
20014	同心锁
20015	紫青宝剑
20016	金箍魔棒
20017	九齿钉耙
20018	月牙铲
20019	金箍
20020	木棉迦裟
20021	九环锡杖
20022	判官笔
20023	妙法莲华经
20024	火尖枪
20025	灵魂之烛
20026	还魂丹
20027	孟婆酒
20028	冥钞
20029	玉酒
20030	天宫名菜
20031	紫衣仙子的铃铛
20032	碧水神石（绿）
20033	碧水神石（绿）
20034	部分的天蓬盔甲
20035	妖怪的念珠
20036	阴阳二气瓶
20037	避水符
20038	栗栗儿的汗巾
20039	仙露
20040	神器碎片
20041	剃刀
20042	般若多罗密多心经
20043	玄天铁鞭
20044	少女的手镯
20045	崔钰的情书
20046	阎王的琵琶
20047	玄奘的血书
20048	玄奘的家信
20049	殷温娇的书信
20050	门贴
20051	唐僧的奏折
20052	魏征的书信
20053	宠物飞升宝石
20054	八戒的情书
20055	认罪书
20056	浪漫超级财神卡
20057	混天绫
20058	枯萎的金莲
20059	江州府大印
20060	玉佩
20061	椰子
20062	金击子
20063	木偶
20064	浪漫VIP体验卡
20065	碎裂的绿烟如梦
20066	新人成长基金
20067	浪漫宠物技能卡
20068	成长豪华礼盒
20069	制造指南书
20070	制造指南书
20071	制造指南书
20072	制造指南书
20073	制造指南书
20074	制造指南书
20075	制造指南书
20076	制造指南书
20077	制造指南书
20078	制造指南书
20079	制造指南书
20080	制造指南书
20081	制造指南书
20082	制造指南书
20083	制造指南书
20084	制造指南书
20085	制造指南书
20086	制造指南书
20087	制造指南书
20088	制造指南书
20089	制造指南书
20090	制造指南书
20091	制造指南书
20092	制造指南书
20093	制造指南书
20094	制造指南书
20095	制造指南书
20096	制造指南书
20097	制造指南书
20098	制造指南书
20099	制造指南书
20100	制造指南书
20101	制造指南书
20102	制造指南书
20103	制造指南书
20104	制造指南书
20105	制造指南书
20106	制造指南书
20107	制造指南书
20108	制造指南书
20109	制造指南书
20110	制造指南书
20111	制造指南书
20112	制造指南书
20113	制造指南书
20114	制造指南书
20115	制造指南书
20116	制造指南书
20117	制造指南书
20118	制造指南书
20119	制造指南书
20120	制造指南书
20121	制造指南书
20122	制造指南书
20123	制造指南书
20124	制造指南书
20125	制造指南书
20126	制造指南书
20127	制造指南书
20128	制造指南书
20129	制造指南书
20130	制造指南书
20131	制造指南书
20132	制造指南书
20133	制造指南书
20134	制造指南书
20135	制造指南书
20136	制造指南书
20137	制造指南书
20138	制造指南书
20139	制造指南书
20140	制造指南书
20141	制造指南书
20142	制造指南书
20143	制造指南书
20144	制造指南书
20145	制造指南书
20146	制造指南书
20147	制造指南书
20148	制造指南书
20149	制造指南书
20150	制造指南书
20151	制造指南书
20152	制造指南书
20153	制造指南书
20154	制造指南书
20155	制造指南书
20156	制造指南书
20157	制造指南书
20158	制造指南书
20159	制造指南书
20160	制造指南书
20161	制造指南书
20162	制造指南书
20163	制造指南书
20164	制造指南书
20165	制造指南书
20166	制造指南书
20167	制造指南书
20168	制造指南书
20169	制造指南书
20170	制造指南书
20171	制造指南书
20172	制造指南书
20173	制造指南书
20174	制造指南书
20175	制造指南书
20176	制造指南书
20177	制造指南书
20178	制造指南书
20179	制造指南书
20180	制造指南书
20181	制造指南书
20182	制造指南书
20183	制造指南书
20184	制造指南书
20185	制造指南书
20186	制造指南书
20187	制造指南书
20188	制造指南书
20189	制造指南书
