item_id,name,description,functionDes
10000,四叶花,具有药性的中草药，长着四片叶子的药草，可补充少量气血。,【功效】恢复气血40点
10001,麝香,仙山灵麝的麝香，是名贵的中药材，可以补充些许法力。,【功效】恢复魔法100点
10002,山药,直立草本，羽状复叶，花白色、黄色、蓝色或紫色，浆果紫色，常见药草，可补充少量气血，对疗伤有一定效果。,【功效】恢复气血40点，治疗10点的伤势
10003,丁香水,从仙岛上的丁香花中精心提炼而成，可以补充些许法力。,【功效】恢复魔法75点
10004,血色茶花,出自南方的野生茶花，可以补充些许气血。,【功效】恢复气血150点
10005,金疮药,用云南白药制成的疗伤药，可以止血、消毒，是常见的药品，具有补充气血的作用。,【功效】恢复气血400点
10006,紫丹罗,产自东胜神洲的药草，紫色的叶子上散发出淡淡的清香，可以补充少量法力。,【功效】恢复魔法20点
10007,熊胆,千年熊罴的胆，是十分难得可遇不可求的宝物，可以补充大量气血。,【功效】恢复气血200点
10008,佛光舍利子,佛的舍利子具有补充气血、疗伤和起死回生的功效。,【功效】复活、恢复气血=品质*3，临时气血上限变为品质*7+100
10009,草果,“香草高士意，兰花隐者心。”散发淡淡香气的药草，具有一定的疗伤作用。,【功效】治疗10点的伤势
10010,鬼切草,产自阴间的药草，由于长年在阴湿之地，故而有很强的药力，可以补充少量法力。,【功效】恢复魔法40点
10011,七叶莲,“出污泥而不染”七片叶子的莲花更是稀有品种，难得可贵的是，这种莲花具有药性。可以补充少量气血。,【功效】恢复气血60点
10012,九香虫,带有药性的虫，因为与异花生活在一起，通体散发着浓浓的异香，具有一定疗伤效果。,【功效】治疗15点的伤势
10013,月见草,生长在暗处的药草，由于吸取月华的缘故，阴气很重，可以补充少量气血和法力。,【功效】恢复气血40点、魔法30点
10014,百色花,海外仙草，原产于方壶岛，兼百花之灵气，可以补充少量法力。,【功效】恢复魔法30点
10015,佛手,非常常见的药物，因其外貌酷似佛的手指而得名，可以补充少量法力。,【功效】恢复魔法20点
10016,香叶,散发香气的药草叶子可以补充少量的法力。,【功效】恢复魔法30点
10017,包子,精面粉制作的肉包子味道非常好。,【功效】恢复气血100点，非战斗时才可食用
10018,白玉骨头,东方白明国药兽的骨头，具有很强的药性，可以补充少量法力。,【功效】恢复魔法40点
10019,龙须草,《古今注》曰：“世称黄帝炼丹于凿砚山，乃得仙，乘龙上天。群臣援龙须，须堕而生草，曰龙须”，可以补充少量法力。,【功效】恢复魔法30点
10020,八角莲叶,八角形状的莲叶，是非常少见的药物，产自西牛贺洲，可补充少量气血，具有疗伤的作用。,【功效】恢复气血60点，治疗15点的伤势
10021,天青地白,产于北方的药草，天青色的花，青白色的叶，具有药性。可补充少量气血。,【功效】恢复气血80点
10022,人参,千年的老参，药性很强，可以补充些许气血，具有一定疗伤作用。,【功效】恢复气血80点，治疗20点的伤势
10023,曼陀罗花,常用的药草之一，华佗当年配制麻沸散的主要原料。可以补充少量法力。,【功效】恢复魔法50点
10024,灵脂,采天地灵气而生的药物，又称三秀，可补充少量的法力。,【功效】补充魔法40点
10025,水黄莲,产于南方水乡，非常少见，同样也非常珍贵，具有一定疗伤作用。,【功效】治疗20点伤势
10026,旋复花,产于东海海滨的药草，花开三色，暗合三才之数，可以补充少量法力。,【功效】恢复魔法20点
10027,小还丹,载于中国古老药书《千金方》，散发着香气的紫色药丸，具有补充气血和疗伤的功效。,【功效】恢复气血=品质*8+100，治疗伤势=品质+80
10028,千年保心丹,用大量名贵药品，经过名师的精心加工制成的丹药，具有补充气血和疗伤的功效。,【功效】恢复气血=品质*4+200，治疗伤势=品质*4+100
10029,风水混元丹,有混元之神效，用各类名贵药品精炼的丹药，具有补充法力和恢复战斗中某些情况下损失的灵力的功效。,【功效】恢复魔法=品质*3+50，恢复灵力=品质*0.3
10030,金香玉,仙子仙女常用的药物，除了可以养颜之外。服用后具有恢复气血的用处。,【功效】恢复气血=品质*12+150
10031,天不老,南瞻部洲常见的药草，花旗非常之长，故而得名，可以补充些许气血。,【功效】恢复气血100点
10032,紫石英,紫色的千年石英石，具有药性，可以补充些许气血。,【功效】恢复气血100点
10033,凤凰尾,“彩凤双飞翼，心犀一点通。”这是一根灵鸟鸾凤尾部的羽毛，可以补充大量气血。,【功效】恢复气血250点
10034,硫磺草,在硫磺地长大的圣草，可以补充大量气血。,【功效】恢复气血250
10035,龙之心屑,用龙心提炼出的灵药，只在魔界存在，可以补充极大量的气血。,【功效】恢复气血300点
10036,月星子,五台山的名产，用水研化后食用，可以补充些许法力。,【功效】恢复魔法75点
10037,血珊瑚,东海海底的千年珊瑚，具有强大的灵力，可以补充些许法力。,【功效】恢复魔法100点
10038,火凤之睛,无色界天的火凤凰的眼睛，可以补充极大量的气血。,【功效】恢复气血300点
10039,孔雀红,用仙家孔雀的精华制成的药品，有很强的魔性，可以补充大量法力。,【功效】恢复魔法150点
10040,鹿茸,南极仙翁仙鹿之茸，可以补充些许全欧性。,【功效】恢复气血150点
10041,仙狐涎,东方青丘国九尾仙狐的涎水制成的药草，可以补充些许法力。,【功效】恢复魔法100点
10042,天龙水,九天真龙的血液炼成的药物，可以补充些许法力。,【功效】恢复魔法150点
10043,地狱灵芝,产自地狱深处的灵芝草，由于吸取了阴魂怨气，药力很强，可以补充些许法力。,【功效】恢复魔法100点
10044,餐风饮露,南海普陀山潮音洞外的仙竹枝，可以补充些许法力。,【功效】恢复魔法100点
